기준년월,국가코드,수출입구분코드,순위,국가명,수출입구분명,당월수출입중량(KG),당월수출입미화금액(1$),당해누계수출입중량(KG),당해누계수출입미화금액(1$),데이터기준일자
201805,JP,E,1,일본,수출,14426904,73605638,55539745,299424316,2018-06-30
201805,CN,E,2,중국,수출,5923309,34450973,36693396,146829048,2018-06-30
201805,US,E,3,미국,수출,2077235,21625850,11334472,122340001,2018-06-30
201805,TH,E,4,태국,수출,10507579,26962422,45091849,109772167,2018-06-30
201805,VN,E,5,베트남,수출,6099235,10115595,27220329,50271653,2018-06-30
201805,TW,E,6,대만,수출,636559,7129500,3960632,27728416,2018-06-30
201805,FR,E,7,프랑스,수출,301457,4751003,1583610,23362906,2018-06-30
201805,HK,E,8,홍콩,수출,184627,4028632,895290,21648612,2018-06-30
201805,PH,E,9,필리핀,수출,2559491,3743736,13247205,19125241,2018-06-30
201805,IT,E,10,이탈리아,수출,643286,3928862,2671358,17726985,2018-06-30
201805,RU,E,11,러시아,수출,709061,1892941,5083643,13616918,2018-06-30
201805,CA,E,12,카나다,수출,215576,3080302,1077129,13605754,2018-06-30
201805,ES,E,13,스페인,수출,669326,2185602,3650709,11709291,2018-06-30
201805,EC,E,14,에쿠아도르,수출,20880,89092,8591253,10711495,2018-06-30
201805,MX,E,15,멕시코,수출,1850950,3135227,6465163,9761559,2018-06-30
201805,SG,E,16,싱가포르,수출,287819,2109232,813398,9472987,2018-06-30
201805,ID,E,17,인도네시아,수출,799638,1642610,5107815,8879070,2018-06-30
201805,AU,E,18,호주,수출,112763,1236374,694093,6823182,2018-06-30
201805,DE,E,19,독일,수출,67871,1533061,359090,6803142,2018-06-30
201805,PT,E,20,포르투갈,수출,237355,927113,1637823,4763636,2018-06-30
201805,GB,E,21,영국,수출,67820,1124405,279074,4327583,2018-06-30
201805,NL,E,22,네덜란드,수출,41510,561903,222217,3277619,2018-06-30
201805,MY,E,23,말레이시아,수출,67873,636916,411168,3106332,2018-06-30
201805,NZ,E,24,뉴질랜드,수출,57442,499125,284934,2415575,2018-06-30
201805,TN,E,25,튀니지,수출,0,0,1613645,2208311,2018-06-30
201805,IR,E,26,이란,수출,500000,814604,1304100,2187884,2018-06-30
201805,BE,E,27,벨기에,수출,23892,404805,113460,1875892,2018-06-30
201805,TZ,E,28,탄자니아,수출,270000,236790,1876130,1758453,2018-06-30
201805,GH,E,29,가나,수출,7,142,1895149,1676345,2018-06-30
201805,ZA,E,30,남아프리카,수출,1735,39262,673243,1265460,2018-06-30
201805,MN,E,31,몽고,수출,41005,261589,187599,1241085,2018-06-30
201805,UY,E,32,우루과이,수출,24000,47050,714035,1166006,2018-06-30
201805,EG,E,33,이집트,수출,0,0,1293743,1067935,2018-06-30
201805,CI,E,34,코르디봐르,수출,0,0,944450,958665,2018-06-30
201805,MO,E,35,마카오,수출,5001,157614,27983,935841,2018-06-30
201805,AE,E,36,아랍에미리트연합,수출,8004,102830,94494,862068,2018-06-30
201805,GN,E,37,기니아,수출,0,0,686820,703212,2018-06-30
201805,TR,E,38,터키,수출,4672,62360,353912,682355,2018-06-30
201805,UA,E,39,우크라이나,수출,91738,123634,311993,661516,2018-06-30
201805,MP,E,40,북마나리아나군도,수출,12860,139272,67164,650352,2018-06-30
201805,MT,E,41,몰타,수출,1005980,647127,1006020,648827,2018-06-30
201805,BR,E,42,브라질,수출,2087,52133,27314,628638,2018-06-30
201805,KH,E,43,캄보디아,수출,2456,34352,56854,596237,2018-06-30
201805,AT,E,44,오스트리아,수출,3010,115341,22326,579957,2018-06-30
201805,SC,E,45,세이셜,수출,25000,28861,508850,561370,2018-06-30
201805,PL,E,46,폴란드,수출,1014,28215,16798,531786,2018-06-30
201805,CH,E,47,스위스,수출,2322,87253,13095,504320,2018-06-30
201805,CL,E,48,칠레,수출,5764,91176,46967,480422,2018-06-30
201805,LT,E,49,리투아니아,수출,7754,171501,18139,460160,2018-06-30
201805,GU,E,50,괌,수출,13877,123233,57828,445801,2018-06-30
201805,SA,E,51,사우디아라비아,수출,7554,57258,224687,435546,2018-06-30
201805,NG,E,52,나이지리아,수출,27000,26165,486044,424752,2018-06-30
201805,CZ,E,53,체코공화국,수출,7957,148311,32140,423916,2018-06-30
201805,KZ,E,54,카자흐,수출,1548,66467,15484,409588,2018-06-30
201805,LK,E,55,스리랑카,수출,3,8,209347,397282,2018-06-30
201805,MR,E,56,모리타니아,수출,0,0,663560,370325,2018-06-30
201805,IN,E,57,인디아,수출,6000,18600,135577,360135,2018-06-30
201805,NO,E,58,노르웨이,수출,0,0,131397,354355,2018-06-30
201805,KE,E,59,케냐,수출,0,0,378199,345618,2018-06-30
201805,MM,E,60,미얀마,수출,3601,70700,28970,324806,2018-06-30
201805,IL,E,61,이스라엘,수출,928,38770,8028,323914,2018-06-30
201805,SN,E,62,세네갈,수출,0,0,321770,292775,2018-06-30
201805,LY,E,63,리비아,수출,0,0,162000,245550,2018-06-30
201805,SE,E,64,스웨덴,수출,1311,25973,7870,226966,2018-06-30
201805,RW,E,65,루안다,수출,78000,71760,234000,202800,2018-06-30
201805,GR,E,66,그리스,수출,1970,69150,25034,197768,2018-06-30
201805,KW,E,67,쿠웨이트,수출,696,15935,30568,188488,2018-06-30
201805,TG,E,68,토고,수출,0,0,135000,183950,2018-06-30
201805,QA,E,69,카타르,수출,5238,59023,23090,176655,2018-06-30
201805,BJ,E,70,베닝,수출,0,0,162000,163930,2018-06-30
201805,LV,E,71,라트비아,수출,2625,74160,5250,157770,2018-06-30
201805,IQ,E,72,이라크,수출,0,0,25614,152252,2018-06-30
201805,ZZ,E,73,기타국,수출,0,0,125000,149665,2018-06-30
201805,SR,E,74,수리남,수출,0,0,129149,147647,2018-06-30
201805,KI,E,75,키리바티,수출,375000,44407,1050159,147037,2018-06-30
201805,MZ,E,76,모잠비크,수출,0,0,120632,135721,2018-06-30
201805,EE,E,77,에스토니아,수출,0,0,4887,108418,2018-06-30
201805,LA,E,78,라오스,수출,6295,31494,16612,104235,2018-06-30
201805,FJ,E,79,피지,수출,0,0,98502,103780,2018-06-30
201805,FM,E,80,마이크로네시아,수출,110004,22020,530227,103222,2018-06-30
201805,OM,E,81,오만,수출,0,0,30089,93341,2018-06-30
201805,MU,E,82,모리셔스,수출,0,0,77881,88405,2018-06-30
201805,BN,E,83,부루나이,수출,1391,16000,6016,85210,2018-06-30
201805,GW,E,84,기네비소,수출,0,0,76000,66475,2018-06-30
201805,AR,E,85,아르헨티나,수출,0,0,2419,57476,2018-06-30
201805,PY,E,86,파라과이,수출,10660,47246,11023,51183,2018-06-30
201805,PE,E,87,페루,수출,592,16057,3191,47147,2018-06-30
201805,DK,E,88,덴마아크,수출,2169,29677,2585,44093,2018-06-30
201805,GT,E,89,과테말라,수출,0,0,1415,36438,2018-06-30
201805,SB,E,90,솔로몬군도,수출,17000,6087,67330,36334,2018-06-30
201805,BO,E,91,볼리비아,수출,0,0,7095,35350,2018-06-30
201805,CO,E,92,콜롬비아,수출,0,0,1293,34705,2018-06-30
201805,PA,E,93,파나마,수출,1857,8276,31887,31699,2018-06-30
